resource,url,license_declared,commercial_use,attribution_required,modification_redistribution,trademark_notes,client_redistribution,status
MECLABS Conversion Sequence Heuristic,https://content.marketingsherpa.com/data/public/LP-Exercise-WS.pdf,Published research framework (citation only — no reuse grant),see status,see status,see status,see status,see status,Reference only — do not reproduce text
LIFT Model (Conversion.com / Goward 2009),https://umbrex.com/resources/frameworks/marketing-frameworks/lift-model-for-conversion-value-relevance-clarity-anxiety-distraction-urgency/,"Published framework, third-party explanatory write-ups (no reuse grant)",see status,see status,see status,see status,see status,Reference only — do not reproduce text
NN/g: 5-second test + usability heuristics,https://www.nngroup.com/articles/five-second-testing/,"Copyrighted article (reference), method is public practice",see status,see status,see status,see status,see status,Reference only — do not reproduce text
TeardownHQ landing-page audit checklist,https://teardownhq.com/insights/landing-page-audit-checklist,Commercial site + paid reports (reference only),see status,see status,see status,see status,see status,DO NOT SHIP until licence purchased/confirmed
USWDS (U.S. Web Design System),https://github.com/uswds/uswds,Public domain (US Gov) + mixed third-party notices (Apache-2.0/OFL),see status,see status,see status,see status,see status,Mixed/third-party — audit per file
GOV.UK Frontend,https://github.com/alphagov/govuk-frontend,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
IBM Carbon Design System,https://github.com/carbon-design-system/carbon,Apache-2.0,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Adobe React Aria / Spectrum,https://github.com/adobe/react-spectrum,Apache-2.0,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Awwwards / Godly / Mobbin / Land-book (inspiration),https://www.awwwards.com/,Proprietary ToS; screenshots copyrighted by owners,see status,see status,see status,see status,see status,DO NOT SHIP until licence purchased/confirmed
shadcn/ui,https://github.com/shadcn-ui/ui,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Base UI (@base-ui/react),https://github.com/mui/base-ui,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Radix Primitives,https://github.com/radix-ui/primitives,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Tailwind CSS,https://github.com/tailwindlabs/tailwindcss,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Astro,https://github.com/withastro/astro,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Next.js,https://github.com/vercel/next.js,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
AstroWind template,https://github.com/arthelokyo/astrowind,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Magic UI (shadcn registry),https://github.com/magicuidesign/magicui,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
shadcn.io Pro Blocks,https://www.shadcn.io/license,Proprietary; Individual licence forbids commercial/client use,see status,see status,see status,see status,see status,DO NOT SHIP until licence purchased/confirmed
Tailark / Aceternity / Shadcnblocks (freemium registries),https://tailark.com/,Freemium: free tier + paid all-access; terms vary per item,see status,see status,see status,see status,see status,Mixed licences — audit per file
Headless UI,https://github.com/tailwindlabs/headlessui,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Motion (ex-Framer Motion),https://github.com/motiondivision/motion,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Lottie / lottie-web,https://github.com/airbnb/lottie-web,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Three.js / React Three Fiber,https://github.com/pmndrs/react-three-fiber,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Lucide icons,https://github.com/lucide-icons/lucide,ISC,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Unsplash (free tier) + Unsplash+,https://unsplash.com/license,"Unsplash Licence (free, commercial OK, no attribution required); Unsplash+ has extra restrictions",see status,see status,see status,see status,see status,Custom licence — per-asset review required
Cloudflare Pages / Workers / D1,https://developers.cloudflare.com/pages/platform/limits/,Proprietary service (free + $5/mo Workers Paid); commercial use permitted on free plan,see status,see status,see status,see status,see status,Service terms — read ToS + DPA before client use
Netlify,https://www.netlify.com/pricing/,Proprietary (free tier 300 credits/mo; Pro ~$20 flat since Apr 2026),see status,see status,see status,see status,see status,Service terms — read ToS + DPA before client use
Vercel,https://vercel.com/docs/limits/fair-use-guidelines,"Proprietary; Hobby is non-commercial only, Pro $20/seat",see status,see status,see status,see status,see status,Service terms — read ToS + DPA before client use
"GitHub (repos, Actions, Pages)",https://github.com/pricing,Proprietary service (free tiers generous),see status,see status,see status,see status,see status,Service terms — read ToS + DPA before client use
Keystatic (git-based CMS),https://github.com/Thinkmill/keystatic,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Payload CMS v3,https://github.com/payloadcms/payload,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Decap CMS,https://github.com/decaporg/decap-cms,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Tally (forms),https://tally.so/,"Proprietary SaaS; Belgian company, EU servers; DPA built into ToS",see status,see status,see status,see status,see status,Service terms — read ToS + DPA before client use
Custom Worker + D1 form endpoint,(build) https://developers.cloudflare.com/workers/,Our code (MIT-in-repo); Cloudflare service terms,see status,see status,see status,see status,see status,Our own code — we own it
Umami,https://github.com/umami-software/umami,MIT,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Matomo (self-hosted),https://github.com/matomo-org/matomo,GPL-3.0,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
GrowthBook / Bayesian low-traffic testing (method),https://www.growthbook.io/insights/when-not-to-run-test-product-leader-takeaways,Open-source (MIT) platform; article as method reference,see status,see status,see status,see status,see status,Mixed licences — audit per file
"axe-core (+ @axe-core/cli, Playwright integration)",https://github.com/dequelabs/axe-core,MPL-2.0,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Pa11y CI,https://github.com/pa11y/pa11y,LGPL-3.0,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Lighthouse / Lighthouse CI,https://github.com/GoogleChrome/lighthouse,Apache-2.0,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
Playwright,https://github.com/microsoft/playwright,Apache-2.0,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
W3C WCAG 2.2 (incl. new AA criteria),https://www.w3.org/TR/WCAG22/,W3C document licence (free to reference/implement),see status,see status,see status,see status,see status,Free to reference/implement
web.dev / Core Web Vitals thresholds,https://web.dev/articles/vitals,Google documentation (reference),see status,see status,see status,see status,see status,Documentation — reference only
CNIL — consent exemption for audience measurement,https://www.cnil.fr/fr/cookies-et-autres-traceurs/regles/cookies-solutions-pour-les-outils-de-mesure-daudience,Regulatory guidance (public),see status,see status,see status,see status,see status,Framework/regulation — reference only
EU AI Act Article 50 (transparency),https://www.jonesday.com/en/insights/2026/01/european-commission-publishes-draft-code-of-practice-on-ai-labelling-and-transparency,Regulation (EU) 2024/1689 + draft labelling code,see status,see status,see status,see status,see status,Framework/regulation — reference only
EU Omnibus Directive (fake reviews ban),https://www.lexology.com/library/detail.aspx?g=929020b0-ff28-4964-a6fa-ad7f6edd2475,"Directive (EU) 2019/2161, in force since 2022-05-28",see status,see status,see status,see status,see status,Framework/regulation — reference only
Loi LCEN — mentions légales (FR),https://www.economie.gouv.fr/entreprises/developper-son-entreprise/innover-et-numeriser-son-entreprise/mentions-sur-votre-site-internet-les-obligations-respecter,French statute art. 1-1/1-2 LCEN,see status,see status,see status,see status,see status,Framework/regulation — reference only
Higgsfield Terms of Use + help centre (2026-07/08 update),https://higgsfield.ai/creator-hub/help-center/account/who-owns-my-generations-and-can-i-use-them-commercially,Proprietary SaaS terms (revised Jul 2026),see status,see status,see status,see status,see status,Service terms — read ToS + DPA before client use
OpenDesign (nexu-io/open-design),https://github.com/nexu-io/open-design,Apache-2.0,allowed,copyright notice in source,allowed (keep notices),no trademark grant,allowed,OK — keep NOTICE file
VoltAgent/awesome-agent-skills (registry of skills incl. CRO/design skills),https://github.com/VoltAgent/awesome-agent-skills,Curated list; each listed skill has its own (often unclear) licence,see status,see status,see status,see status,see status,UNKNOWN — DO NOT SHIP
Case-study / credibility practice (own framework),(build) docs/13 + templates/case-study.md,Our own content,see status,see status,see status,see status,see status,Our own code — we own it
