repo,full_name,license_spdx,license_name,stars,forks,open_issues,pushed_at,created_at,archived,is_fork,default_branch,homepage,topics,description
nexu-io/open-design,nexu-io/open-design,Apache-2.0,Apache License 2.0,97765,11344,1108,2026-09-23,2026-04-28,False,False,main,https://open-design.ai,agent-skills ai-design byok claude-code-for-design claude-design codex-design coding-agents cursor-design deepseek deepseek-harness design-systems desktop-app dsh dsh-plugin figma-alternative hermes-agent local-first prototyping ui-generator vibe-coding,"🎨 Best DeepSeek Harness Design Plugin. The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTML/PDF/PPTX/MP4 export. 🤖 Claude Code / Codex / Cursor / DeepSeek Harness / OpenCode & 20+ CLIs via BYOK."
anthropics/skills,anthropics/skills,NONE,NONE,177769,21059,1264,2026-09-22,2025-09-22,False,False,main,,agent-skills,Public repository for Agent Skills
shadcn-ui/ui,shadcn-ui/ui,MIT,MIT License,124467,10925,1838,2026-09-21,2023-01-04,False,False,main,https://ui.shadcn.com,base-ui components laravel nextjs radix-ui react react-aria react-aria-components shadcn tailwindcss tanstack ui vite,"Composable, accessible components with thoughtful defaults. Build your own component library with code you can customize, extend, and make your own."
radix-ui/primitives,radix-ui/primitives,MIT,MIT License,19321,1248,356,2026-08-08,2020-06-19,False,False,main,https://radix-ui.com/primitives,accessibility colors component-library design-systems radix-ui react ui ui-components ui-kit,"Radix Primitives is an open-source UI component library for building high-quality, accessible design systems and web apps. Maintained by @workos."
mui/base-ui,mui/base-ui,MIT,MIT License,10975,551,447,2026-09-23,2024-02-23,False,False,master,https://base-ui.com,accessibility base-ui components design-system react react-components ui wai-aria,"Unstyled UI components for building accessible web apps and design systems. From the creators of Radix, Floating UI, and Material UI."
tailwindlabs/tailwindcss,tailwindlabs/tailwindcss,MIT,MIT License,97645,6274,77,2026-09-08,2017-10-06,False,False,main,https://tailwindcss.com/,css css-framework functional-css postcss responsive tailwindcss utility-classes,A utility-first CSS framework for rapid UI development.
tailwindlabs/headlessui,tailwindlabs/headlessui,MIT,MIT License,28749,1201,111,2026-04-13,2020-09-16,False,False,main,https://headlessui.com,a11y accessibility components headless-ui headlessui react tailwindcss vue,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS."
withastro/astro,withastro/astro,NOASSERTION,Other,62763,3803,77,2026-09-23,2021-03-15,False,False,main,https://astro.build,astro blog browser components hybrid islands node server static static-site-generator universal,The web framework for content-driven websites. ⭐️ Star to support our work!
vercel/next.js,vercel/next.js,MIT,MIT License,142410,32607,3460,2026-09-23,2016-10-05,False,False,canary,https://nextjs.org,blog browser compiler components hybrid nextjs node react server-rendering ssg static static-site-generator universal vercel,The React Framework
vitejs/vite,vitejs/vite,MIT,MIT License,82964,8770,794,2026-09-23,2020-04-21,False,False,main,http://vite.dev,build-tool dev-server frontend hmr vite,Next generation frontend tooling. It's fast!
motiondivision/motion,motiondivision/motion,MIT,MIT License,33700,1369,113,2026-09-23,2018-11-16,False,False,main,https://motion.dev,animation animation-js motion react reactanimations spring,A modern animation library for React and JavaScript
greensock/GSAP,greensock/GSAP,NONE,NONE,28579,2209,6,2026-04-13,2012-09-21,False,False,master,https://gsap.com,animation gsap javascript javascript-library scroll,"GSAP (GreenSock Animation Platform), a JavaScript animation library for the modern web"
