resource,url,license,maintenance_evidence,what_it_provides,what_it_does_not_solve,risks,readiness_score,band,decision,integration_notes
MECLABS Conversion Sequence Heuristic,https://content.marketingsherpa.com/data/public/LP-Exercise-WS.pdf,Published research framework (citation only — no reuse grant),Stable since ~2006; MECLABS Institute publishes the heuristic; no repo,Weighted heuristic C = 4m+3v+2(i-f)-2a for diagnosis and prioritisation,"No templates, no forms, no measurable thresholds",Article/PDF text is not licensed for reproduction or client hand-over,6.6,PILOT / POC REQUIRED,REFERENCE,Use as mental model inside our teardown SKILL + template. Never copy text.
LIFT Model (Conversion.com / Goward 2009),https://umbrex.com/resources/frameworks/marketing-frameworks/lift-model-for-conversion-value-relevance-clarity-anxiety-distraction-urgency/,"Published framework, third-party explanatory write-ups (no reuse grant)","Widely adopted CRO audit lens; stable, well documented by practitioners","Six-factor audit lens: value, relevance, clarity, anxiety, distraction, urgency",Not a deliverable format; no scoring rubric of its own,"Framework name/description must be quoted as reference, not copied wholesale",6.9,PILOT / POC REQUIRED,ADOPT (as method),Backbone of templates/teardown-report.md. Write our own wording.
NN/g: 5-second test + usability heuristics,https://www.nngroup.com/articles/five-second-testing/,"Copyrighted article (reference), method is public practice",NN/g publishes continuously; method is industry standard since the 1990s,Cheap first-impression protocol (clarity/memorability) for hero validation,No tooling; needs 5+ unmasked testers to be meaningful,Article text is copyrighted — reference only,7.35,PILOT / POC REQUIRED,ADOPT (as method),Used in validation experiment #4 (mobile clarity) and in design-direction briefs.
TeardownHQ landing-page audit checklist,https://teardownhq.com/insights/landing-page-audit-checklist,Commercial site + paid reports (reference only),Actively published (2026); productised audit service,21-checkpoint section-by-section audit structure; good coverage of objection handling,Paid reports; no licence to reuse checklist text,Copying their checklist text would be a copyright issue; also a competitor,5.9,REFERENCE ONLY,REFERENCE,Use to sanity-check our own teardown structure; author our own wording.
anthropics/skills — frontend-design + skill spec,https://github.com/anthropics/skills,Apache-2.0 (example skills); document-skills source-available,177.8k stars; HEAD commit 2026-09-22; spec at agentskills.io,"Canonical SKILL.md format, YAML frontmatter, progressive disclosure, skill-creator",No studio-specific opinion; generic design guidance; no QA gates,Licence is MIXED: per-skill LICENSE files differ — verify before copying a skill folder,7.85,PILOT / POC REQUIRED,ADOPT,"Template for all our SKILL.md files. Copy only Apache-2.0 skill folders, keep NOTICE."
USWDS (U.S. Web Design System),https://github.com/uswds/uswds,Public domain (US Gov) + mixed third-party notices (Apache-2.0/OFL),7.2k stars; pushed 2026-09-23; federal programme with release cadence,"Production-tested accessible patterns, content style guide, design tokens",US-centric content style; heavy; not a marketing-landing aesthetic,"Mixed third-party assets inside the repo (Font Awesome, Source Sans) — check per asset",7.75,PILOT / POC REQUIRED,REFERENCE,"Steal patterns (form errors, help text, focus), not code bulk."
GOV.UK Frontend,https://github.com/alphagov/govuk-frontend,MIT,1.5k stars; pushed 2026-09-23; UK government service,Gold-standard accessible form/error/button patterns and research-backed copy rules,Government tone; not premium/editorial; no motion system,Very low; MIT + excellent provenance,8.3,APPROVED CANDIDATE,REFERENCE,Borrow error-summary and field-level validation patterns for forms.
IBM Carbon Design System,https://github.com/carbon-design-system/carbon,Apache-2.0,9.5k stars; pushed 2026-09-23; IBM-maintained,"Mature token architecture (colour, type, spacing), a11y docs per component","Enterprise product UI, not conversion marketing; large surface",Enterprise visual language; overweight for landing pages,7.9,PILOT / POC REQUIRED,REFERENCE,Token naming taxonomy only.
Adobe React Aria / Spectrum,https://github.com/adobe/react-spectrum,Apache-2.0,15.9k stars; pushed 2026-09-23; Adobe-maintained,"Best-in-class headless accessibility behaviour (focus, ARIA, i18n)",No styling; bigger API surface than Base UI for our small needs,Low; Apache-2.0. Learning curve if used instead of Base UI,8.4,APPROVED CANDIDATE,REFERENCE,Fallback primitive layer if Base UI regresses on a needed component.
Awwwards / Godly / Mobbin / Land-book (inspiration),https://www.awwwards.com/,Proprietary ToS; screenshots copyrighted by owners,Active commercial platforms,"Art-direction calibration, section-order patterns, layout vocabulary",No licence to reuse screenshots or layouts; Mobbin/Land-book partly paid,High trade-dress risk if used as 'copy this' input rather than pattern research,4.75,REFERENCE ONLY,REFERENCE (controlled intake only),Only via templates/ design-direction brief; never paste screenshots into client files.
