source_id,title,url,source_class,evidence_level,applicable_archetypes,quality_signal,limitations,reuse_decision,review_status
src_w3c_wcag22,Web Content Accessibility Guidelines 2.2,https://www.w3.org/TR/WCAG22/,normative,gate,all,"W3C Recommendation with testable success criteria and combined automated/manual evaluation","Accessibility standard; not conversion or brand proof",adopt_as_gate,reviewed
src_webdev_cwv_thresholds,How the Core Web Vitals metrics thresholds were defined,https://web.dev/articles/defining-core-web-vitals-thresholds,technical_research,tested_research,all,"Method explains field metrics, thresholds, percentile classification, perception, and achievability","Performance thresholds do not determine message quality",adopt_as_test,reviewed
src_webdev_field_measurement,Best practices for measuring Web Vitals in the field,https://web.dev/articles/vitals-field-measurement-best-practices,technical_research,tested_research,all,"Recommends real-user distributions and percentiles instead of averages","Requires a real traffic or RUM path; lab-only prototypes remain limited",adopt_as_test,reviewed
src_baymard_methodology,Baymard UX Research Methodology,https://baymard.com/research/methodology,ux_research,tested_research,saas-launch-demand|high-trust-lead-engine,"Large-scale moderated testing and manual benchmarking with explicit methods and limitations","Commerce-heavy and partly paywalled; transfer to service sites must be tested",adopt_as_test,reviewed
src_baymard_saas_2025,Digital Subscription and SaaS UX Benchmark 2025,https://baymard.com/research-articles/digital-subscriptions-and-saas-2025-benchmark,ux_research,tested_research,saas-launch-demand,"Public benchmark overview names sites and a large set of scored UX parameters","Full scores and examples require access; benchmark is not a conversion guarantee",adopt_as_test,reviewed
src_nng_b2b_usability,B2B Usability,https://www.nngroup.com/articles/b2b-usability/,ux_research,tested_research,"ai-automation-authority|saas-launch-demand|expert-authority|high-trust-lead-engine","Original B2B user research with user testing and field studies","Published 2006; use as foundational context and re-test current assumptions",adopt_as_test,reviewed
src_awwwards_evaluation,Awwwards Evaluation System,https://www.awwwards.com/about-evaluation/,curated_award,observational,all,"Publicly stated jury model and weights design 40%, usability 30%, creativity 20%, content 10%","Award signal; no independent conversion or field-performance proof",hypothesis_only,reviewed
src_prompy_visual_gallery,Prompy visual prompt gallery,https://www.prompy.me/,gallery_inspiration,inspiration,all,"Curated visual-prompt examples can supply vocabulary and hypotheses for controlled prompt experiments","Published terms state personal-use limits and prohibit copying or redistribution; gallery output is not quality, rights, accessibility, or conversion evidence",inspiration_only,reviewed_for_inspiration_only
src_webby_judging,Webby Awards Judging Criteria,https://www.webbyawards.com/judging-criteria/,curated_award,observational,all,"Explicit criteria include content, structure/navigation, visual design, functionality, interactivity, innovation, and overall experience","Jury rubric is not a user study or technical conformance audit",hypothesis_only,reviewed
src_cssda_gallery,CSS Design Awards,https://www.cssdesignawards.com/,curated_award,observational,creative-portfolio-inquiry|saas-launch-demand,"Public UI, UX, and innovation judge scores expose a structured curation signal","Public scores are evaluative opinion, not task success or accessibility evidence",hypothesis_only,reviewed
src_siteinspire_gallery,Siteinspire web design showcase,https://www.siteinspire.com/,gallery_inspiration,inspiration,creative-portfolio-inquiry|expert-authority,"Large searchable visual collection useful for vocabulary and comparative references","No equivalent normative or research methodology; inspiration only",inspiration_only,reviewed
src_whip_around_case,Whip Around B2B SaaS case study,https://uxagent.io/mywork/whip-around/,practitioner_case_study,practitioner,saas-launch-demand,"Describes interviews, analytics/heatmaps, information architecture, and a live trial/demo path","Agency-authored case study; claims and metrics require independent verification",hypothesis_only,candidate
src_nextlevel_case,NextLevel business advisory positioning case study,https://www.watsoncreative.com/portfolio/nextlevel-business-advisory-strategy/,practitioner_case_study,practitioner,expert-authority,"Shows positioning and service-firm messaging work tied to an inspectable project narrative","Client outcome and method depth must be verified before pattern promotion",hypothesis_only,candidate
src_uncommon_case,Uncommon Studio creative studio case study,https://www.hontran.dev/blog/uncommon-studio-case-study-creative-studio-website,practitioner_case_study,practitioner,creative-portfolio-inquiry,"Documents a shipped creative studio site and the implementation choices behind it","Award mention is not conversion proof; inspect rights, performance, and mobile path",hypothesis_only,candidate
src_trust_company_case,Trust Company regulated website case study,https://cityofoaksmarketing.com/work/trust-company/,practitioner_case_study,practitioner,high-trust-lead-engine,"Connects accessibility-first implementation, performance, and regulated-service constraints","Vendor case study; independent audit and user evidence are still required",hypothesis_only,candidate
src_design_critique_directory,Public design critique forum discovery thread,https://graphicdesign.stackexchange.com/questions/19927/where-can-i-go-to-recieve-feedback-on-web-design-projects,community_critique,observational,all,"Shows where public critique communities are found and distinguishes critique from inspiration","Directory answers do not establish quality; use only to recruit critique and record dissent",hypothesis_only,reviewed
